role,section,sub_section,title,description,link,level
Product Owner,overview,core,Role Overview,Manages backlog and ensures Agile delivery,,Beginner
Product Owner,responsibilities,core,Backlog Management,Prioritize and maintain backlog,,Beginner
Product Owner,skills,core,Prioritization,Managing tasks by importance,,Intermediate
Product Owner,tools,tool,Jira,Backlog tracking tool,,Beginner
Product Owner,tools,tool,Confluence,Documentation tool,,Beginner
Product Owner,terms,term,Sprint,Agile iteration,,Beginner
Product Owner,terms,term,User Story,Feature description,,Beginner
Product Owner,concepts,concept,Agile Scrum,Framework for development,https://www.scrum.org/resources/what-is-scrum,Beginner
Product Owner,concepts,concept,Backlog Refinement,Improving backlog,https://www.atlassian.com/agile/scrum/backlog-refinement,Intermediate
Product Owner,resources,article,PO Guide,Learn product owner role,https://www.scrum.org/resources/what-is-a-product-owner,Beginner
Product Owner,resources,video,Scrum Explained,Agile basics,https://www.youtube.com/watch?v=9TycLR0TqFA,Beginner
Product Owner,flow,process,PO Workflow,Backlog to delivery,,Beginner

HR Analyst,overview,core,Role Overview,Uses data to improve HR decisions and workforce outcomes,,Beginner
HR Analyst,responsibilities,core,HR Data Analysis,Analyze workforce data,,Beginner
HR Analyst,skills,core,HR Analytics,Using data in HR,,Intermediate
HR Analyst,tools,tool,Excel,HR data analysis,,Beginner
HR Analyst,tools,tool,Power BI,HR dashboards,,Intermediate
HR Analyst,terms,term,Attrition,Employee exits,,Beginner
HR Analyst,terms,term,Engagement,Employee involvement,,Beginner
HR Analyst,concepts,concept,People Analytics,Using data in HR,https://www.ibm.com/topics/people-analytics,Beginner
HR Analyst,concepts,concept,Attrition Analysis,Studying employee exits,https://www.coursera.org/articles/attrition-analysis,Intermediate
HR Analyst,resources,article,HR Analytics Guide,Learn HR analytics,https://www.coursera.org/articles/hr-analytics,Beginner
HR Analyst,resources,video,HR Analytics Course,Complete overview,https://www.youtube.com/watch?v=7W6z6Zk0vXw,Beginner
HR Analyst,flow,process,HR Workflow,Data to HR decisions,,Beginner
